iteration,score,A_survival,B_tcl,C_environment,D_recovery,E_cost,F_mass,G_ops_physics
1,58.275751,0.0,0.625,5.52563,3.780701,20.0,20.0,8.34442
2,61.487351,20.0,10.0,9.977324,6.022,3.447955,3.29223,8.747842
3,64.566486,20.0,10.0,9.977324,6.022,5.023184,4.796136,8.747842
4,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
5,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
6,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
7,66.155657,20.0,10.0,9.977324,6.062972,5.958606,5.741253,8.415502
8,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
9,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
10,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
11,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
12,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
13,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
14,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
15,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
16,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
17,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
18,66.155657,20.0,10.0,9.977324,6.062972,5.958606,5.741253,8.415502
19,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
20,66.13939,20.0,10.0,9.977324,6.033944,5.951446,5.734417,8.442259
21,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
22,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
23,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
24,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
25,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
26,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
27,66.155657,20.0,10.0,9.977324,6.062972,5.958606,5.741253,8.415502
28,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
29,66.261142,20.0,10.0,9.977324,6.048944,5.894165,5.67973,8.660979
30,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
31,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
32,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
33,66.362865,20.0,10.0,9.977324,6.060194,5.851204,5.638714,8.835429
34,66.274749,20.0,10.0,9.977324,6.119222,5.922805,5.707073,8.548325
35,66.362865,20.0,10.0,9.977324,6.060194,5.851204,5.638714,8.835429
36,66.362865,20.0,10.0,9.977324,6.060194,5.851204,5.638714,8.835429
37,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
38,66.362865,20.0,10.0,9.977324,6.060194,5.851204,5.638714,8.835429
39,66.137269,20.0,10.0,9.977324,6.022,5.779603,5.570355,8.787987
40,66.362865,20.0,10.0,9.977324,6.060194,5.851204,5.638714,8.835429
41,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
42,66.362865,20.0,10.0,9.977324,6.060194,5.851204,5.638714,8.835429
43,65.982438,20.0,10.0,9.977324,6.022,5.708001,5.501995,8.773118
44,66.362865,20.0,10.0,9.977324,6.060194,5.851204,5.638714,8.835429
45,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
46,66.362865,20.0,10.0,9.977324,6.060194,5.851204,5.638714,8.835429
47,66.362865,20.0,10.0,9.977324,6.060194,5.851204,5.638714,8.835429
48,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
49,66.362865,20.0,10.0,9.977324,6.060194,5.851204,5.638714,8.835429
50,66.362865,20.0,10.0,9.977324,6.060194,5.851204,5.638714,8.835429
