iteration,score,A_survival,B_D_system,E_F_footprint,G_ops_physics
1,58.275751,0.0,9.931331,40.0,8.34442
2,79.77912,20.0,25.999324,25.013985,8.765811
3,84.105078,20.0,26.026268,29.417831,8.660979
4,83.993223,20.0,26.021546,29.658667,8.31301
5,84.105078,20.0,26.026268,29.417831,8.660979
6,84.039986,20.0,26.026268,29.527927,8.485791
7,84.205432,20.0,26.062268,29.307735,8.835429
8,84.048052,20.0,25.999324,29.197639,8.851089
9,83.992281,20.0,26.029046,29.638024,8.325211
10,83.993223,20.0,26.021546,29.658667,8.31301
11,84.105078,20.0,26.026268,29.417831,8.660979
12,84.039986,20.0,26.026268,29.527927,8.485791
13,84.030914,20.0,26.043446,29.571966,8.415502
14,84.029815,20.0,26.065046,29.6105,8.354269
15,83.993223,20.0,26.021546,29.658667,8.31301
16,84.105078,20.0,26.026268,29.417831,8.660979
17,84.080125,20.0,26.038268,29.472879,8.568978
18,84.008979,20.0,26.011268,29.555452,8.442259
19,84.008979,20.0,26.011268,29.555452,8.442259
20,83.992281,20.0,26.029046,29.638024,8.325211
21,83.992281,20.0,26.029046,29.638024,8.325211
22,83.993223,20.0,26.021546,29.658667,8.31301
23,84.105078,20.0,26.026268,29.417831,8.660979
24,84.131512,20.0,26.096546,29.486641,8.548325
25,84.008979,20.0,26.011268,29.555452,8.442259
26,84.008979,20.0,26.011268,29.555452,8.442259
27,83.993223,20.0,26.021546,29.658667,8.31301
28,83.992281,20.0,26.029046,29.638024,8.325211
29,84.032625,20.0,26.062796,29.589857,8.379972
30,84.131512,20.0,26.096546,29.486641,8.548325
31,84.008979,20.0,26.011268,29.555452,8.442259
32,83.993223,20.0,26.021546,29.658667,8.31301
33,83.993223,20.0,26.021546,29.658667,8.31301
34,78.669741,18.0,22.485047,29.830692,8.354002
35,84.105078,20.0,26.026268,29.417831,8.660979
36,84.205432,20.0,26.062268,29.307735,8.835429
37,84.048052,20.0,25.999324,29.197639,8.851089
38,84.039986,20.0,26.026268,29.527927,8.485791
39,84.205432,20.0,26.062268,29.307735,8.835429
40,84.105078,20.0,26.026268,29.417831,8.660979
41,84.233482,20.0,26.119046,29.362783,8.751653
42,83.993223,20.0,26.021546,29.658667,8.31301
43,84.039986,20.0,26.026268,29.527927,8.485791
44,84.062366,20.0,26.095046,29.582976,8.384344
45,84.080125,20.0,26.038268,29.472879,8.568978
46,83.992281,20.0,26.029046,29.638024,8.325211
47,83.993223,20.0,26.021546,29.658667,8.31301
48,84.039986,20.0,26.026268,29.527927,8.485791
49,84.008979,20.0,26.011268,29.555452,8.442259
50,84.080125,20.0,26.038268,29.472879,8.568978
