iteration,score,A_survival,B_D_system,E_F_footprint,G_ops_physics
1,58.275751,0.0,9.931331,40.0,8.34442
2,54.56996,20.0,25.970565,0.0,8.599395
3,60.940269,20.0,25.999324,6.23734,8.703605
4,64.059423,20.0,26.042701,9.558203,8.458519
5,64.659457,20.0,26.021096,10.27645,8.361911
6,66.107301,20.0,26.029046,11.753044,8.325211
7,58.071059,0.0,9.943987,40.0,8.127072
8,60.027199,20.0,25.976968,5.641954,8.408277
9,64.828512,20.0,26.064768,10.38176,8.381984
10,66.121736,20.0,26.042246,11.76648,8.31301
11,58.083418,0.0,9.953609,40.0,8.129809
12,55.942315,20.0,26.069405,1.33053,8.54238
13,66.104395,20.0,26.021546,11.769839,8.31301
14,64.077701,20.0,23.949017,11.83982,8.288864
15,66.104395,20.0,26.021546,11.769839,8.31301
16,58.137386,0.0,10.003345,40.0,8.134041
17,66.155657,20.0,26.040296,11.699859,8.415502
18,58.068294,0.0,9.953137,40.0,8.115157
19,57.879308,20.0,26.027526,3.405758,8.446024
20,66.104395,20.0,26.021546,11.769839,8.31301
21,52.965405,7.6,12.448954,25.010535,7.905916
22,64.638303,20.0,26.023593,10.1918,8.42291
23,58.109401,0.0,9.98472,40.0,8.124681
24,66.175528,20.0,26.026268,11.663469,8.485791
25,58.109401,0.0,9.98472,40.0,8.124681
26,61.248224,20.0,26.029046,6.953939,8.265239
27,64.028988,20.0,26.086279,9.656735,8.285974
28,66.017687,20.0,26.014646,11.770959,8.232082
29,58.083418,0.0,9.953609,40.0,8.129809
30,60.027199,20.0,25.976968,5.641954,8.408277
31,63.991447,20.0,26.045479,9.647778,8.29819
32,66.104395,20.0,26.021546,11.769839,8.31301
33,58.133471,0.0,9.99772,40.0,8.135751
34,66.107301,20.0,26.029046,11.753044,8.325211
35,56.933906,14.0,18.315107,16.325045,8.293754
36,61.328315,20.0,26.095046,6.909151,8.324118
37,58.155177,0.0,10.025054,40.0,8.130123
38,63.410706,20.0,26.077371,9.014179,8.319156
39,66.104395,20.0,26.021546,11.769839,8.31301
40,58.10952,0.0,9.983595,40.0,8.125925
41,66.104395,20.0,26.021546,11.769839,8.31301
42,58.121705,0.0,9.997276,40.0,8.124429
43,62.072169,20.0,26.095046,7.644866,8.332257
44,64.978921,20.0,26.041371,10.626839,8.310711
45,66.104395,20.0,26.021546,11.769839,8.31301
46,55.78132,14.0,18.617679,14.69662,8.467021
47,63.362967,20.0,26.131371,8.51835,8.713246
48,65.20245,20.0,26.041371,10.847554,8.313525
49,66.104395,20.0,26.021546,11.769839,8.31301
50,55.410613,13.6,17.607647,15.937166,8.2658
