iteration,score,A_survival,B_tcl,C_environment,D_recovery,E_cost,F_mass,G_ops_physics
1,58.275751,0.0,0.625,5.52563,3.780701,20.0,20.0,8.34442
2,54.56996,20.0,10.0,9.977324,5.993241,0.0,0.0,8.599395
3,60.940269,20.0,10.0,9.977324,6.022,3.236326,3.001014,8.703605
4,64.059423,20.0,10.0,9.977324,6.065377,4.892831,4.665372,8.458519
5,64.659457,20.0,10.0,9.977324,6.043772,5.249676,5.026774,8.361911
6,66.107301,20.0,10.0,9.977324,6.051722,5.985814,5.76723,8.325211
7,58.071059,0.0,0.625,5.52563,3.793357,20.0,20.0,8.127072
8,60.027199,20.0,10.0,9.977324,5.999644,2.942799,2.699155,8.408277
9,64.828512,20.0,10.0,9.977324,6.087444,5.303458,5.078302,8.381984
10,66.121736,20.0,10.0,9.977324,6.064922,5.992688,5.773792,8.31301
11,58.083418,0.0,0.625,5.52563,3.802979,20.0,20.0,8.129809
12,55.942315,20.0,10.0,9.977324,6.092081,0.793368,0.537162,8.54238
13,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
14,64.077701,20.0,10.0,9.976795,3.972222,6.030207,5.809613,8.288864
15,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
16,58.137386,0.0,0.625,5.52563,3.852715,20.0,20.0,8.134041
17,66.155657,20.0,10.0,9.977324,6.062972,5.958606,5.741253,8.415502
18,58.068294,0.0,0.625,5.52563,3.802507,20.0,20.0,8.115157
19,57.879308,20.0,10.0,9.977324,6.050202,1.827739,1.578019,8.446024
20,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
21,52.965405,7.6,0.625,7.262324,4.56163,12.501178,12.509357,7.905916
22,64.638303,20.0,10.0,9.977324,6.046269,5.211437,4.980363,8.42291
23,58.109401,0.0,0.625,5.52563,3.83409,20.0,20.0,8.124681
24,66.175528,20.0,10.0,9.977324,6.048944,5.939989,5.72348,8.485791
25,58.109401,0.0,0.625,5.52563,3.83409,20.0,20.0,8.124681
26,61.248224,20.0,10.0,9.977324,6.051722,3.602925,3.351014,8.265239
27,64.028988,20.0,10.0,9.977324,6.108955,4.943238,4.713497,8.285974
28,66.017687,20.0,10.0,9.977324,6.037322,5.994979,5.77598,8.232082
29,58.083418,0.0,0.625,5.52563,3.802979,20.0,20.0,8.129809
30,60.027199,20.0,10.0,9.977324,5.999644,2.942799,2.699155,8.408277
31,63.991447,20.0,10.0,9.977324,6.068155,4.938656,4.709122,8.29819
32,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
33,58.133471,0.0,0.625,5.52563,3.84709,20.0,20.0,8.135751
34,66.107301,20.0,10.0,9.977324,6.051722,5.985814,5.76723,8.325211
35,56.933906,14.0,1.875,9.96513,6.474977,8.258787,8.066258,8.293754
36,61.328315,20.0,10.0,9.977324,6.117722,3.580012,3.329139,8.324118
37,58.155177,0.0,0.625,5.52563,3.874424,20.0,20.0,8.130123
38,63.410706,20.0,10.0,9.977324,6.100047,4.620049,4.39413,8.319156
39,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
40,58.10952,0.0,0.625,5.52563,3.832965,20.0,20.0,8.125925
41,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
42,58.121705,0.0,0.625,5.52563,3.846646,20.0,20.0,8.124429
43,62.072169,20.0,10.0,9.977324,6.117722,3.940727,3.704139,8.332257
44,64.978921,20.0,10.0,9.977324,6.064047,5.426163,5.200676,8.310711
45,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
46,55.78132,14.0,2.291667,9.964588,6.361424,7.450041,7.246579,8.467021
47,63.362967,20.0,10.0,9.977324,6.154047,4.372657,4.145693,8.713246
48,65.20245,20.0,10.0,9.977324,6.064047,5.534378,5.313176,8.313525
49,66.104395,20.0,10.0,9.977324,6.044222,5.994406,5.775433,8.31301
50,55.410613,13.6,1.875,9.94288,5.789767,8.070526,7.86664,8.2658
